,sample,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,temperature,residence_time,pressure,heat_rate,fuel_type,fuel_category,devol_yield
1990,TC_1,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,1.0,1.0,1000,Torr-Coal,Coal,2.448685632
1992,TC_3,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,1.0,1.0,1000,Torr-Coal,Coal,2.857142857
2001,TC_19,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,Coal,1.452870305
2099,TC_148,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,Coal,1.871739797
2100,TC_149,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,Coal,1.658163265
1576,cel_22,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,400,1.0,1.0,1000,Cellulose,Biomass,10.39046989
1577,cel_23,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,400,1.0,1.0,1000,Cellulose,Biomass,10.83743842
1835,dgt_1,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,1.0,10.0,1000,Digestate,Biomass,26.5385343
425,digestate_2,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,10.0,1.0,1000,Digestate,Biomass,19.47751323
492,digestate_300,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,10.0,1.0,1000,Digestate,Biomass,19.45348081
494,digestate_302,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,10.0,1.0,1000,Digestate,Biomass,25.6490135
495,digestate_303,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,10.0,1.0,1000,Digestate,Biomass,13.49458943
584,digestate_pe_97,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,400,10.0,1.0,1000,Digestate_PE,Co-Pyro,9.983291562
585,digestate_pe_99,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,400,10.0,1.0,1000,Digestate_PE,Co-Pyro,8.571428571
604,digestate_pe_119,5.1,75.35,7.7,11.85,61.224,10.0275,10.6,1.214,0.1305,0.002,1.85,0.2,30.794999999999998,400,10.0,1.0,1000,Digestate_PE,Co-Pyro,9.50752394
605,digestate_pe_120,5.202,74.857,7.854,12.087,60.74952,9.92295,10.812,1.23772,0.13189,0.00196,1.843,0.20400000000000001,30.480199999999996,400,10.0,1.0,1000,Digestate_PE,Co-Pyro,8.344504021
607,digestate_pe_468,5.1,75.35,7.7,11.85,61.224,10.0275,10.6,1.214,0.1305,0.002,1.85,0.2,30.794999999999998,400,10.0,1.0,1000,Digestate_PE,Co-Pyro,8.278145695
759,digestate_pp_200,7.6499999999999995,63.025000000000006,11.55,17.775,49.516999999999996,7.196249999999999,15.899999999999999,1.8089999999999997,0.17325000000000002,0.00175,1.625,0.30000000000000004,22.868499999999997,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,13.35361731
760,digestate_pp_201,7.6499999999999995,63.025000000000006,11.55,17.775,49.516999999999996,7.196249999999999,15.899999999999999,1.8089999999999997,0.17325000000000002,0.00175,1.625,0.30000000000000004,22.868499999999997,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,19.00996906
761,digestate_pp_202,7.6499999999999995,63.025000000000006,11.55,17.775,49.516999999999996,7.196249999999999,15.899999999999999,1.8089999999999997,0.17325000000000002,0.00175,1.625,0.30000000000000004,22.868499999999997,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,22.22955145
763,digestate_pp_258,7.6499999999999995,63.025000000000006,11.55,17.775,49.516999999999996,7.196249999999999,15.899999999999999,1.8089999999999997,0.17325000000000002,0.00175,1.625,0.30000000000000004,22.868499999999997,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,18.75626881
779,digestate_pp_231,5.1,75.35,7.7,11.85,61.534,9.5925,10.6,1.218,0.14650000000000002,0.0035,1.75,0.2,30.682,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,14.14107324
942,dgst_car_3,5.647250490709999,59.71514676812,15.073727984450002,19.56387475672,50.52416179002235,6.944841427190498,15.060711449830038,1.8798194739139205,0.3793406126171146,0.0,1.608429416735951,0.25243740879432464,22.65040822874854,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,20.73170732
943,dgst_car_4,5.789870426839999,59.43273728048,15.0839488178,19.69344347488,50.116165453116594,6.877651886731332,15.253031483937388,1.896114706773774,0.3737225686933765,0.0,1.6050327448000274,0.25705997089443294,22.424876731801778,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,19.51646811
944,dgst_car_233,5.62754542593,59.75416583796,15.07231582435,19.54597291176,50.580532550428536,6.954124661240465,15.034139577527956,1.877568045201907,0.38011682891939386,0.0,1.6088987174687235,0.25179873310771395,22.68156875846028,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,15.30722242
1052,dgst_car_92,7.984358631999999,55.087311904,15.24121644,21.687113024,43.83833941151721,5.84380866643035,18.21225344067598,2.1468489118339265,0.2872779140310992,0.0,1.5527682668985119,0.3281871799058072,18.95463110295371,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,23.94247039
1053,dgst_car_94,7.863921947679999,55.325795128959996,15.2325853656,21.577697557759997,44.18287557781338,5.900547476539691,18.049847062825087,2.1330882562824174,0.2920221216145494,0.0,1.5556366169818587,0.3242836158774733,19.14508319849548,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,17.43976987
1443,htc_10,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,1.0,1.0,1000,HTC-MSW,Mix,22.73730684
1444,htc_16,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,1.0,1.0,1000,HTC-MSW,Mix,13.39931481
1567,htc_153,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,1.0,1.0,1000,HTC-MSW,Mix,15.77335375
1446,htc_153,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,2.0,1.0,1000,HTC-MSW,Mix,15.77335375
1553,htc_137,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,10.0,1.0,1000,HTC-MSW,Mix,40.06550218
1615,hc_5,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,400,1.0,1.0,1000,Hemicellulose,Biomass,60.13179572
1616,hc_6,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,400,1.0,1.0,1000,Hemicellulose,Biomass,4.085945756
1653,hc_56,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,400,1.0,1.0,1000,Hemicellulose,Biomass,11.94590533
1660,lig_5,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,400,1.0,1.0,1000,Lignin,Biomass,12.22537208
1661,lig_6,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,400,1.0,1.0,1000,Lignin,Biomass,13.01564723
1805,_bks_1,10.8,44.2,40.9,4.2,63.4,3.9,16.2,0.9,0.6,0.0,0.7,0.2,20.13,400,10.0,1.0,1000,Lignite,Coal,13.96076308
1924,_ebs1_1,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065000000002,400,1.0,10.0,1000,RDF1,Plastic,18.68848205
332,refuse_derived_71,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065000000002,400,10.0,1.0,1000,RDF2,Mix,19.1682911
333,refuse_derived_72,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065000000002,400,10.0,1.0,1000,RDF2,Mix,15.02890173
1957,gm_1,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,400,1.0,10.0,1000,Rubber,Plastic,10.17450602
1863,swage_1,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,400,1.0,1.0,1000,Sewage,Biomass,10.72909873
1993,TC_5,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,1.0,1.0,1000,Torr-Coal,Coal,6.171428571
1995,TC_7,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,1.0,1.0,1000,Torr-Coal,Coal,2.508474576
2003,TC_22,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,10.0,1.0,1000,Torr-Coal,Coal,14.54131425
2101,TC_150,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,10.0,1.0,1000,Torr-Coal,Coal,8.62378728
2103,TC_152,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,10.0,1.0,1000,Torr-Coal,Coal,8.654212734
2104,TC_153,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,400,10.0,1.0,1000,Torr-Coal,Coal,6.669164481
2118,TW_168,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,35.07610854
2132,TW_185,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,36.18677043
2134,TW_187,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,30.05025126
2203,TW_261,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,37.20930233
2204,TW_262,4.72,68.66,24.29,7.06,58.16,4.91,27.9,0.32,0.18,1.5,1.0,0.4,19.0,400,10.0,1.0,1000,Torr-Wood,Biomass,25.85443038
1892,wod_1,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,1.0,10.0,1000,Wood,Biomass,7.377516986
473,wood_8,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,7.343499197
474,wood_10,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,8.267581475
1149,wood_18,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,7.528641571
1150,wood_59,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,7.345264728
1152,wood_106,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,8.225878168
1153,wood_107,7.6,75.4,16.4,0.6,50.4,5.7,35.3,0.3,0.1,0.0,1.4,0.5,19.843,400,10.0,1.0,1000,Wood,Biomass,7.976519337
947,dgst_car_231,5.7209876587999995,59.5691357936,15.079012345999999,19.630864201599998,50.313220071137394,6.910103181099773,15.160144495916397,1.8882444133512615,0.3764359790828232,0.0,1.6066732739674006,0.25482735965134545,22.53380423668958,500,10.0,1.0,1000,Digestate_SCP,Co-Pyro,38.84892086
1058,dgst_car_227,7.96347678007,55.128661194040006,15.23971994565,21.66814208024,43.89807663568398,5.853646295538767,18.18409469524125,2.1444630277213843,0.2881004859977897,0.0,1.5532655942872726,0.3275103624851087,18.987652540577272,500,10.0,1.0,1000,Digestate_SCP,Co-Pyro,49.80650155
1059,dgst_car_284,7.94686561927,55.16155385644,15.23852950965,21.65305101464,43.94559658935984,5.861471963470829,18.16169488846594,2.142565097174972,0.2887548281152453,0.0,1.5536612098319398,0.326971965649179,19.013920536924093,500,10.0,1.0,1000,Digestate_SCP,Co-Pyro,43.53869271
1060,dgst_car_289,7.970906679179999,55.11394884696,15.240252408100002,21.67489206576,43.876821741713925,5.850146002940095,18.194113760520782,2.145311940849576,0.28780780952715335,0.0,1.553088641958738,0.327751178537657,18.975903297702036,500,10.0,1.0,1000,Digestate_SCP,Co-Pyro,45.16246805
1925,_ebs1_2,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065000000002,500,1.0,10.0,1000,RDF1,Plastic,52.78444227
381,refuse_derived_152,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065000000002,500,10.0,1.0,1000,RDF2,Mix,44.91525424
383,refuse_derived_155,5.4,72.7,8.2,13.6,56.8,9.8,11.8,2.0,0.5,1.8,2.1,0.2,27.889065000000002,500,10.0,1.0,1000,RDF2,Mix,49.50787402
1958,gm_2,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,500,1.0,10.0,1000,Rubber,Plastic,53.2476953
1594,cel_40,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,0.5,1.0,1000,Cellulose,Biomass,72.87804878
1595,cel_41,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,0.5,1.0,1000,Cellulose,Biomass,67.85252264
1581,cel_29,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,1.0,1.0,1000,Cellulose,Biomass,64.90949508
1582,cel_60,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,1.0,1.0,1000,Cellulose,Biomass,64.57399103
1598,cel_43,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,2.0,1.0,1000,Cellulose,Biomass,76.59713168
1600,cel_45,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,2.0,1.0,1000,Cellulose,Biomass,80.62385321
1601,cel_46,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,5.0,1.0,1000,Cellulose,Biomass,84.17742469
1604,cel_57,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,5.0,1.0,1000,Cellulose,Biomass,82.62362637
1605,cel_50,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,10.0,1.0,1000,Cellulose,Biomass,89.74017322
1606,cel_51,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,10.0,1.0,1000,Cellulose,Biomass,87.01206529
1608,cel_52,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,20.0,1.0,1000,Cellulose,Biomass,94.55848811
1610,cel_54,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,600,20.0,1.0,1000,Cellulose,Biomass,95.28936743
1836,dgt_2,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,1.0,10.0,1000,Digestate,Biomass,49.90149738
1846,dgt_12,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,1.0,1.5,1000,Digestate,Biomass,53.74346271
1847,dgt_13,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,1.0,10.0,1000,Digestate,Biomass,49.90149738
515,_digestate_01,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,36.34933124
517,_digestate_05,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,39.92687386
518,_digestate_57,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,45.40778839
519,_digestate_61,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,37.94832241
520,_digestate_66,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,52.60314342
1411,dgst_30,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,600,10.0,1.0,1000,Digestate,Biomass,51.64952111
680,digestate_pe_444,7.547999999999999,63.518,11.396,17.538,49.836479999999995,7.5183,15.687999999999999,1.78328,0.16386,0.0010400000000000001,1.682,0.296,23.2398,600,0.5,1.0,1000,Digestate_PE,Co-Pyro,9.778085992
681,digestate_pe_473,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,0.5,1.0,1000,Digestate_PE,Co-Pyro,11.15716753
736,digestate_pe_464,5.1,75.35,7.7,11.85,61.224,10.0275,10.6,1.214,0.1305,0.002,1.85,0.2,30.794999999999998,600,0.5,1.0,1000,Digestate_PE,Co-Pyro,9.109518936
739,digestate_pe_467,5.303999999999999,74.364,8.008000000000001,12.324,60.27504,9.8184,11.024,1.26144,0.13328,0.00192,1.836,0.20800000000000002,30.165399999999998,600,0.5,1.0,1000,Digestate_PE,Co-Pyro,7.874794069
676,digestate_pe_438,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,1.0,1.0,1000,Digestate_PE,Co-Pyro,18.41831426
677,digestate_pe_439,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,1.0,1.0,1000,Digestate_PE,Co-Pyro,17.78235496
734,digestate_pe_462,5.202,74.857,7.854,12.087,60.74952,9.92295,10.812,1.23772,0.13189,0.00196,1.843,0.20400000000000001,30.480199999999996,600,1.0,1.0,1000,Digestate_PE,Co-Pyro,15.67114094
735,digestate_pe_463,5.1,75.35,7.7,11.85,61.224,10.0275,10.6,1.214,0.1305,0.002,1.85,0.2,30.794999999999998,600,1.0,1.0,1000,Digestate_PE,Co-Pyro,15.81122976
671,digestate_pe_418,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,1.5,1.0,1000,Digestate_PE,Co-Pyro,16.26630062
675,digestate_pe_472,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,1.5,1.0,1000,Digestate_PE,Co-Pyro,24.81151474
729,digestate_pe_457,5.202,74.857,7.854,12.087,60.74952,9.92295,10.812,1.23772,0.13189,0.00196,1.843,0.20400000000000001,30.480199999999996,600,1.5,1.0,1000,Digestate_PE,Co-Pyro,26.15069894
730,digestate_pe_458,5.1,75.35,7.7,11.85,61.224,10.0275,10.6,1.214,0.1305,0.002,1.85,0.2,30.794999999999998,600,1.5,1.0,1000,Digestate_PE,Co-Pyro,18.60703312
667,digestate_pe_415,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,2.0,1.0,1000,Digestate_PE,Co-Pyro,20.76710435
669,digestate_pe_417,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,2.0,1.0,1000,Digestate_PE,Co-Pyro,17.10254646
725,digestate_pe_452,5.1,75.35,7.7,11.85,61.224,10.0275,10.6,1.214,0.1305,0.002,1.85,0.2,30.794999999999998,600,2.0,1.0,1000,Digestate_PE,Co-Pyro,15.77710641
727,digestate_pe_454,5.303999999999999,74.364,8.008000000000001,12.324,60.27504,9.8184,11.024,1.26144,0.13328,0.00192,1.836,0.20800000000000002,30.165399999999998,600,2.0,1.0,1000,Digestate_PE,Co-Pyro,23.92904953
663,digestate_pe_411,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,5.0,1.0,1000,Digestate_PE,Co-Pyro,46.65523156
665,digestate_pe_414,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,5.0,1.0,1000,Digestate_PE,Co-Pyro,34.64052288
723,digestate_pe_450,5.202,74.857,7.854,12.087,60.74952,9.92295,10.812,1.23772,0.13189,0.00196,1.843,0.20400000000000001,30.480199999999996,600,5.0,1.0,1000,Digestate_PE,Co-Pyro,40.04113816
724,digestate_pe_451,5.202,74.857,7.854,12.087,60.74952,9.92295,10.812,1.23772,0.13189,0.00196,1.843,0.20400000000000001,30.480199999999996,600,5.0,1.0,1000,Digestate_PE,Co-Pyro,41.08710331
588,digestate_pe_102,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,10.0,1.0,1000,Digestate_PE,Co-Pyro,35.19224108
591,digestate_pe_106,7.752,62.532000000000004,11.704,18.012,48.887519999999995,7.3092,16.112,1.83072,0.16664,0.00096,1.6680000000000001,0.30400000000000005,22.6102,600,10.0,1.0,1000,Digestate_PE,Co-Pyro,46.33230979
593,digestate_pe_149,7.6499999999999995,63.025000000000006,11.55,17.775,49.361999999999995,7.41375,15.899999999999999,1.8069999999999997,0.16525,0.001,1.675,0.30000000000000004,22.924999999999997,600,10.0,1.0,1000,Digestate_PE,Co-Pyro,44.49712157
610,digestate_pe_124,5.202,74.857,7.854,12.087,60.74952,9.92295,10.812,1.23772,0.13189,0.00196,1.843,0.20400000000000001,30.480199999999996,600,10.0,1.0,1000,Digestate_PE,Co-Pyro,54.20435511
611,digestate_pe_125,5.406,73.87100000000001,8.162,12.561,59.80056,9.71385,11.236,1.28516,0.13467,0.00188,1.8290000000000002,0.21200000000000002,29.850599999999996,600,10.0,1.0,1000,Digestate_PE,Co-Pyro,43.55628059
859,digestate_pp_315,7.6499999999999995,63.025000000000006,11.55,17.775,49.516999999999996,7.196249999999999,15.899999999999999,1.8089999999999997,0.17325000000000002,0.00175,1.625,0.30000000000000004,22.868499999999997,600,0.5,1.0,1000,Digestate_PP,Co-Pyro,17.14092141
862,digestate_pp_528,7.547999999999999,63.518,11.396,17.538,49.99768,7.2921,15.687999999999999,1.78536,0.17218,0.00182,1.63,0.296,23.18104,600,0.5,1.0,1000,Digestate_PP,Co-Pyro,19.94469409
919,digestate_pp_357,5.202,74.857,7.854,12.087,61.05332,9.496649999999999,10.812,1.24164,0.14757,0.00343,1.745,0.20400000000000001,30.369459999999997,600,0.5,1.0,1000,Digestate_PP,Co-Pyro,9.051866535
